# NOTE: 31.05.2026 23:43:04
# Onboard parameters saved by mavparam for (1, 1)
# MAV ID	COMPONENT ID	PARAM NAME	VALUE	(TYPE)
1	1	BAT1_A_PER_V	59.5	9
1	1	BAT1_CAPACITY	-1.0	9
1	1	BAT1_I_CHANNEL	-1	6
1	1	BAT1_N_CELLS	4	6
1	1	BAT1_R_INTERNAL	0.004999999888241291	9
1	1	BAT1_SOURCE	0	6
1	1	BAT1_V_CHANNEL	-1	6
1	1	BAT1_V_CHARGED	4.199999809265137	9
1	1	BAT1_V_DIV	11.130155563354492	9
1	1	BAT1_V_EMPTY	3.5	9
1	1	BAT1_V_LOAD_DROP	0.10000000149011612	9
1	1	BATMON_DRIVER_EN	0	6
1	1	BAT_AVRG_CURRENT	15.0	9
1	1	BAT_CRIT_THR	0.07000000029802322	9
1	1	BAT_EMERGEN_THR	0.05000000074505806	9
1	1	BAT_LOW_THR	0.15000000596046448	9
1	1	BAT_N_CELLS	3	6
1	1	BAT_V_CHARGED	4.050000190734863	9
1	1	BAT_V_EMPTY	3.5999999046325684	9
1	1	BAT_V_LOAD_DROP	0.30000001192092896	9
1	1	BAT_V_OFFS_CURR	0.0	9
1	1	CAL_ACC0_ID	2162722	6
1	1	CAL_ACC0_PRIO	50	6
1	1	CAL_ACC0_ROT	-1	6
1	1	CAL_ACC0_XOFF	-0.052507877349853516	9
1	1	CAL_ACC0_XSCALE	1.004611849784851	9
1	1	CAL_ACC0_YOFF	-0.4781199097633362	9
1	1	CAL_ACC0_YSCALE	0.9952921867370605	9
1	1	CAL_ACC0_ZOFF	0.18397539854049683	9
1	1	CAL_ACC0_ZSCALE	0.9911311864852905	9
1	1	CAL_ACC1_ID	0	6
1	1	CAL_ACC2_ID	0	6
1	1	CAL_ACC3_ID	0	6
1	1	CAL_AIR_CMODEL	0	6
1	1	CAL_AIR_TUBED_MM	1.5	9
1	1	CAL_AIR_TUBELEN	0.20000000298023224	9
1	1	CAL_GYRO0_ID	2162722	6
1	1	CAL_GYRO0_PRIO	50	6
1	1	CAL_GYRO0_ROT	-1	6
1	1	CAL_GYRO0_XOFF	-0.0022923345677554607	9
1	1	CAL_GYRO0_YOFF	0.03193194046616554	9
1	1	CAL_GYRO0_ZOFF	-0.02754249796271324	9
1	1	CAL_GYRO1_ID	0	6
1	1	CAL_GYRO2_ID	0	6
1	1	CAL_GYRO3_ID	0	6
1	1	CAL_MAG0_ID	0	6
1	1	CAL_MAG0_ROT	-1	6
1	1	CAL_MAG1_ID	0	6
1	1	CAL_MAG1_ROT	-1	6
1	1	CAL_MAG2_ID	0	6
1	1	CAL_MAG2_ROT	-1	6
1	1	CAL_MAG3_ID	0	6
1	1	CAL_MAG3_ROT	-1	6
1	1	CAM_CAP_FBACK	0	6
1	1	CA_AIRFRAME	0	6
1	1	CA_FAILURE_MODE	0	6
1	1	CA_METHOD	2	6
1	1	CA_R0_SLEW	0.0	9
1	1	CA_R10_SLEW	0.0	9
1	1	CA_R11_SLEW	0.0	9
1	1	CA_R1_SLEW	0.0	9
1	1	CA_R2_SLEW	0.0	9
1	1	CA_R3_SLEW	0.0	9
1	1	CA_R4_SLEW	0.0	9
1	1	CA_R5_SLEW	0.0	9
1	1	CA_R6_SLEW	0.0	9
1	1	CA_R7_SLEW	0.0	9
1	1	CA_R8_SLEW	0.0	9
1	1	CA_R9_SLEW	0.0	9
1	1	CA_ROTOR0_AX	0.0	9
1	1	CA_ROTOR0_AY	0.0	9
1	1	CA_ROTOR0_AZ	-1.0	9
1	1	CA_ROTOR0_CT	6.5	9
1	1	CA_ROTOR0_KM	0.05000000074505806	9
1	1	CA_ROTOR0_PX	0.15000000596046448	9
1	1	CA_ROTOR0_PY	0.15000000596046448	9
1	1	CA_ROTOR0_PZ	0.0	9
1	1	CA_ROTOR10_AX	0.0	9
1	1	CA_ROTOR10_AY	0.0	9
1	1	CA_ROTOR10_AZ	-1.0	9
1	1	CA_ROTOR10_CT	6.5	9
1	1	CA_ROTOR10_KM	0.05000000074505806	9
1	1	CA_ROTOR10_PX	0.0	9
1	1	CA_ROTOR10_PY	0.0	9
1	1	CA_ROTOR10_PZ	0.0	9
1	1	CA_ROTOR11_AX	0.0	9
1	1	CA_ROTOR11_AY	0.0	9
1	1	CA_ROTOR11_AZ	-1.0	9
1	1	CA_ROTOR11_CT	6.5	9
1	1	CA_ROTOR11_KM	0.05000000074505806	9
1	1	CA_ROTOR11_PX	0.0	9
1	1	CA_ROTOR11_PY	0.0	9
1	1	CA_ROTOR11_PZ	0.0	9
1	1	CA_ROTOR1_AX	0.0	9
1	1	CA_ROTOR1_AY	0.0	9
1	1	CA_ROTOR1_AZ	-1.0	9
1	1	CA_ROTOR1_CT	6.5	9
1	1	CA_ROTOR1_KM	0.05000000074505806	9
1	1	CA_ROTOR1_PX	-0.15000000596046448	9
1	1	CA_ROTOR1_PY	-0.15000000596046448	9
1	1	CA_ROTOR1_PZ	0.0	9
1	1	CA_ROTOR2_AX	0.0	9
1	1	CA_ROTOR2_AY	0.0	9
1	1	CA_ROTOR2_AZ	-1.0	9
1	1	CA_ROTOR2_CT	6.5	9
1	1	CA_ROTOR2_KM	-0.05000000074505806	9
1	1	CA_ROTOR2_PX	0.15000000596046448	9
1	1	CA_ROTOR2_PY	-0.15000000596046448	9
1	1	CA_ROTOR2_PZ	0.0	9
1	1	CA_ROTOR3_AX	0.0	9
1	1	CA_ROTOR3_AY	0.0	9
1	1	CA_ROTOR3_AZ	-1.0	9
1	1	CA_ROTOR3_CT	6.5	9
1	1	CA_ROTOR3_KM	-0.05000000074505806	9
1	1	CA_ROTOR3_PX	-0.15000000596046448	9
1	1	CA_ROTOR3_PY	0.15000000596046448	9
1	1	CA_ROTOR3_PZ	0.0	9
1	1	CA_ROTOR4_AX	0.0	9
1	1	CA_ROTOR4_AY	0.0	9
1	1	CA_ROTOR4_AZ	-1.0	9
1	1	CA_ROTOR4_CT	6.5	9
1	1	CA_ROTOR4_KM	0.05000000074505806	9
1	1	CA_ROTOR4_PX	0.0	9
1	1	CA_ROTOR4_PY	0.0	9
1	1	CA_ROTOR4_PZ	0.0	9
1	1	CA_ROTOR5_AX	0.0	9
1	1	CA_ROTOR5_AY	0.0	9
1	1	CA_ROTOR5_AZ	-1.0	9
1	1	CA_ROTOR5_CT	6.5	9
1	1	CA_ROTOR5_KM	0.05000000074505806	9
1	1	CA_ROTOR5_PX	0.0	9
1	1	CA_ROTOR5_PY	0.0	9
